ID,Cluster Number
1,ax
2,ey
3,iy
4,iy
5,uw
6,eh
7,iy
8,uw
9,ay
10,ow
11,iy
12,uw
13,ax
14,ow
15,ow
16,ah
17,iy
18,ah
19,ao
20,ao
21,ow
22,ao
23,ao
24,ow
25,ao
26,ow
27,ao
28,ow
29,ao
30,ow
31,ao
32,ao
33,ow
34,ao
35,ow
36,ow
37,ao
38,ao
39,ow
40,ao
41,ow
42,ao
43,ao
44,ao
45,uw
46,ax
47,uw
48,ey
49,ey
50,ey
51,ow
52,ow
53,uw
54,ax
55,ih
56,ax
57,ay
58,ax
59,ay
60,ay
61,ih
62,ey
63,ay
64,ih
65,uw
66,ay
67,ay
68,iy
69,ay
70,iy
71,ay
72,ay
73,ow
74,eh
75,iy
76,ay
77,ay
78,ay
79,ay
80,ay
81,ay
82,ey
83,uw
84,ow
85,ay
86,ay
87,iy
88,iy
89,ay
90,ax
91,iy
92,ay
93,ax
94,ay
95,ay
96,ih
97,ay
98,uw
99,ay
100,ay
101,ay
102,ey
103,eh
104,ow
105,ow
106,ow
107,ay
108,ih
109,ih
110,uw
111,ay
112,ow
113,ay
114,ow
115,ay
116,ay
117,ay
118,ow
119,ay
120,uw
121,ey
122,eh
123,ay
124,ay
125,iy
126,uw
127,ay
128,ay
129,ay
130,ay
131,ay
132,iy
133,ey
134,ih
135,iy
136,uw
137,ay
138,ay
139,ay
140,eh
141,ay
142,eh
143,eh
144,ow
145,iy
146,eh
147,eh
148,iy
149,eh
150,eh
151,ay
152,ay
153,eh
154,ay
155,eh
156,ay
157,ay
158,ay
159,eh
160,eh
161,uw
162,eh
163,ay
164,ay
165,ey
166,ey
167,iy
168,iy
169,ey
170,ih
171,iy
172,ih
173,ey
174,iy
175,ey
176,ey
177,ay
178,ey
179,iy
180,iy
181,uw
182,ay
183,ey
184,iy
185,eh
186,ey
187,iy
188,ey
189,ey
190,ey
191,ey
192,iy
193,uw
194,iy
195,uw
196,iy
197,ih
198,ey
199,uw
200,ey
201,iy
202,ey
203,ay
204,uw
205,ih
206,iy
207,iy
208,ih
209,ih
210,ih
211,ih
212,ih
213,ih
214,ih
215,iy
216,ih
217,ih
218,ih
219,ih
220,uw
221,uw
222,ih
223,iy
224,ih
225,ih
226,ih
227,ih
228,ih
229,ih
230,iy
231,ay
232,ey
233,iy
234,ih
235,uw
236,ih
237,ih
238,ih
239,iy
240,iy
241,ey
242,uw
243,iy
244,ih
245,iy
246,ey
247,uw
248,ey
249,ow
250,ih
251,ih
252,ey
253,uw
254,ey
255,uw
256,ih
257,iy
258,iy
259,iy
260,uw
261,iy
262,iy
263,ih
264,uw
265,iy
266,iy
267,iy
268,iy
269,iy
270,ih
271,ey
272,iy
273,iy
274,iy
275,uw
276,ey
277,iy
278,ey
279,uw
280,ey
281,ow
282,ih
283,ow
284,ow
285,ow
286,ow
287,ow
288,ay
289,ow
290,ow
291,uw
292,ow
293,ow
294,ow
295,ay
296,ow
297,ow
298,ow
299,ow
300,eh
301,ow
302,ow
303,ow
304,ow
305,ow
306,ay
307,ow
308,ow
309,ao
310,ow
311,ow
312,ow
313,ow
314,ow
315,ow
316,ow
317,ow
318,ow
319,ow
320,ow
321,ow
322,ow
323,ao
324,ow
325,eh
326,ow
327,ow
328,ow
329,uw
330,ow
331,ow
332,ow
333,ow
334,ow
335,ow
336,ow
337,ow
338,ow
339,ow
340,ow
341,ao
342,uw
343,ow
344,ao
345,ow
346,ow
347,ay
348,eh
349,ow
350,ow
351,ow
352,ow
353,ow
354,ow
355,ow
356,ow
357,ow
358,ay
359,ow
360,ow
361,ow
362,ow
363,ow
364,ow
365,ay
366,ow
367,ow
368,ow
369,ow
370,ow
371,ao
372,ay
373,ih
374,uw
375,uw
376,ow
377,ow
378,ow
379,uw
380,uw
381,uw
382,ow
383,iy
384,ow
385,uw
386,ow
387,ax
388,uw
389,uw
390,uw
391,ow
392,ow
393,ow
394,ow
395,ow
396,iy
397,ow
398,ow
399,ow
400,uw
401,ow
402,ih
403,uw
404,ow
405,uw
406,uw
407,ih
408,uw
409,iy
