ID,Cluster Number
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,4
96,4
97,2
98,2
99,2
100,2
101,2
102,2
103,4
104,2
105,2
106,4
107,4
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,4
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,4
163,2
164,2
165,1
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,4
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,1
191,3
192,1
193,1
194,3
195,4
196,1
197,3
198,1
199,1
200,2
201,3
202,3
203,1
204,4
205,1
206,3
207,2
208,3
209,3
210,1
211,2
212,1
213,1
214,1
215,1
216,3
217,1
218,1
219,1
220,3
221,3
222,1
223,1
224,1
225,3
226,3
227,1
228,1
229,3
230,3
231,3
232,1
233,1
234,1
235,1
236,3
237,1
238,1
239,3
240,3
241,3
242,1
243,1
244,1
245,1
246,1
247,3
248,1
249,1
250,3
251,3
252,1
253,3
254,1
255,1
256,1
257,3
258,1
259,3
260,3
261,3
262,1
263,1
264,1
265,3
266,3
267,3
268,3
269,1
270,1
271,3
272,3
273,1
274,1
275,3
276,3
277,3
278,1
279,1
280,1
281,3
282,4
283,1
284,3
285,3
286,3
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,3
308,4
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,1
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,1
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,4
370,4
371,4
372,4
373,4
374,4
375,4
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,2
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
